differenza,arbitro,temperatura
-3.079,C,25
-6.277,A,32
-2.524,C,19
-3.326,C,24
-4.797,A,21
-6.469,A,16
-4.642,C,25
-1.312,B,24
-1.948,C,33
-5.644,C,28
-2.952,C,20
-1.322,C,34
-8.374,A,31
-1.842,C,28
-4.857,B,24
-2.774,A,20
-5.108,B,23
-7.712,B,30
-7.269,B,34
-3.08,B,33
-3.551,A,23
-6.461,A,19
-1.604,B,26
-7.354,B,16
-4.365,A,27
-7.228,A,24
-5.83,A,23
-3.082,C,17
-5.351,C,28
-4.161,C,22
-0.684,B,19
-4.642,C,11
-1.111,B,25
-6.024,B,34
-1.875,C,33
0.404,B,23
-9.379,C,22
-5.192,C,27
-2.757,A,20
-3.708,C,27
-3.272,A,29
-4.71,C,31
-2.984,C,24
-4.589,A,24
-1.281,A,21
-2.564,C,21
-2.356,B,24
-5.23,A,27
-4.419,B,30
-4.281,B,21
-2.214,B,32
-5.252,A,24
-2.476,B,25
0.989,A,21
-1.022,B,13
-4.015,C,29
-0.197,C,29
-5.22,A,24
-8.295,C,25
-5.72,C,28
-7.877,B,17
-5.079,A,22
-3.154,B,29
0.991,B,19
-2.383,B,26
-3.748,B,18
-1.126,B,27
-8.728,B,25
-2.611,B,17
-2.273,A,31
-6.896,C,21
-0.341,B,21
-2.354,B,26
-4.238,B,31
-1.618,B,20
2.477,B,25
-2.745,B,27
-2.579,C,28
-4.348,C,26
-5.325,B,23
-1.124,C,21
-6.34,A,25
-3.021,B,20
-5.394,A,10
-3.003,A,27
-2.366,B,30
-0.606,C,13
-5.475,A,20
-3.875,B,28
-6.647,A,35
-5.311,A,25
-3.257,A,21
-2.308,A,24
-5.505,C,32
-2.026,A,22
-0.811,A,21
-3.166,A,23
1.492,C,20
-6.134,A,26
-7.312,A,33
-7.647,C,27
0.54,C,24
-1.564,C,24
-4.339,A,17
-2.5,C,29
-6.014,C,25
1.914,A,24
-2.877,C,41
-3.927,A,26
-1.386,B,21
-1.997,C,23
-2.64,B,31
-6.176,A,26
-2.021,C,18
0.505,A,30
0.164,B,22
-0.217,A,34
-4.478,C,30
-5.674,C,23
-3.514,B,31
-4.061,A,25
-0.465,C,29
-7.431,B,27
0.624,C,21
-3.595,C,22
-5.267,A,30
-5.73,C,23
-8.337,A,23
-1.142,C,20
-3.017,B,27
-6.425,C,35
-7.438,A,20
-5.039,A,25
0.973,B,32
-3.849,C,25
-6.958,C,27
-3.814,B,20
-3.882,C,27
-9.942,C,24
-4.336,A,30
-3.777,C,31
-1.459,C,38
1.422,B,28
-0.384,B,27
-4.872,A,26
-5.966,C,23
3.233,C,27
-3.052,C,24
-4.165,A,26
-4.26,A,32
-2.705,B,20
-4.561,A,31
-4.634,C,32
-4.567,C,24
-4.282,A,14
-4.559,C,22
-4.982,C,31
-3.934,A,25
-4.837,A,20
0.56,C,22
-9.827,C,29
-0.471,C,28
-0.085,B,24
-8.383,B,23
-4.057,B,23
-5.129,A,20
-6.719,B,33
-6.145,A,23
-6.976,A,31
1.181,B,33
-0.861,B,30
-0.021,B,23
